Designator,Mid X,Mid Y,Rotation,Layer
C1,35.75,37.225,90.0,top
C2,35.75,40.25,90.0,top
C3,43.0,2.25,270.0,top
C4,41.5,2.25,270.0,top
C5,46.75,8.75,0.0,top
D1,36.8,33.2,180.0,top
D2,51.1,32.75,0.0,top
D3,31.0,36.5,180.0,top
D4,36.7534,31.0,180.0,top
D5,64.0,37.0,270.0,top
D6,64.0,16.5,270.0,top
D7,69.3,9.85,0.0,top
D8,77.05,36.9775,270.0,top
J1,16.05,27.75,90.0,top
J10,81.025,30.25,90.0,top
J11,81.0,21.0,90.0,top
J12,17.75,8.8,0.0,top
J2,52.0,39.6,180.0,top
J3,22.05,27.75,90.0,top
J4,4.0,27.75,90.0,top
J5,58.0,-0.65,0.0,top
J6,17.75,34.3,180.0,top
J7,17.75,40.8,180.0,top
J8,10.05,26.75,90.0,top
J9,5.9,34.3,180.0,top
K1,70.5,37.25,90.0,top
K2,70.5,16.5,90.0,top
Q1,70.75,30.25,180.0,top
Q2,60.25,38.5,270.0,top
Q3,70.75,24.25,90.0,top
Q4,61.0,18.75,270.0,top
R1,31.0,38.0,0.0,top
R2,60.25,10.0,90.0,top
R3,54.25,10.0,90.0,top
R4,66.5,31.25,0.0,top
R5,43.0,5.1,90.0,top
R6,65.0,26.25,0.0,top
R7,58.25,33.75,0.0,top
R8,65.25,23.5,0.0,top
R9,60.0,15.0,90.0,top
SW1,46.75,6.0,90.0,top
SW2,17.5,19.25,270.0,top
U1,41.2,39.2,180.0,top
U2,57.25,10.75,270.0,top
U3,30.5,6.5,180.0,top
